sub_bin_id,bin_id,sub_bin_letter,north_lat,south_lat,west_lon,east_lon,center_lat,center_lon
B2c,B2,c,35.293676,35.293582,-101.603191,-101.603070,35.293629,-101.603131
B2d,B2,d,35.293582,35.293488,-101.603434,-101.603313,35.293535,-101.603373
B2e,B2,e,35.293582,35.293488,-101.603313,-101.603191,35.293535,-101.603252
B2f,B2,f,35.293582,35.293488,-101.603191,-101.603070,35.293535,-101.603131
B2g,B2,g,35.293488,35.293394,-101.603434,-101.603313,35.293441,-101.603373
B2h,B2,h,35.293488,35.293394,-101.603313,-101.603191,35.293441,-101.603252
B2i,B2,i,35.293488,35.293394,-101.603191,-101.603070,35.293441,-101.603131
C2a,C2,a,35.293676,35.293582,-101.603070,-101.602949,35.293629,-101.603009
C2b,C2,b,35.293676,35.293582,-101.602949,-101.602827,35.293629,-101.602888
C2c,C2,c,35.293676,35.293582,-101.602827,-101.602706,35.293629,-101.602767
C2d,C2,d,35.293582,35.293488,-101.603070,-101.602949,35.293535,-101.603009
C2e,C2,e,35.293582,35.293488,-101.602949,-101.602827,35.293535,-101.602888
C2f,C2,f,35.293582,35.293488,-101.602827,-101.602706,35.293535,-101.602767
C2g,C2,g,35.293488,35.293394,-101.603070,-101.602949,35.293441,-101.603009
C2h,C2,h,35.293488,35.293394,-101.602949,-101.602827,35.293441,-101.602888
C2i,C2,i,35.293488,35.293394,-101.602827,-101.602706,35.293441,-101.602767
D2a,D2,a,35.293676,35.293582,-101.602706,-101.602585,35.293629,-101.602645
D2b,D2,b,35.293676,35.293582,-101.602585,-101.602463,35.293629,-101.602524
D2c,D2,c,35.293676,35.293582,-101.602463,-101.602342,35.293629,-101.602403
D2d,D2,d,35.293582,35.293488,-101.602706,-101.602585,35.293535,-101.602645
D2e,D2,e,35.293582,35.293488,-101.602585,-101.602463,35.293535,-101.602524
D2f,D2,f,35.293582,35.293488,-101.602463,-101.602342,35.293535,-101.602403
D2g,D2,g,35.293488,35.293394,-101.602706,-101.602585,35.293441,-101.602645
D2h,D2,h,35.293488,35.293394,-101.602585,-101.602463,35.293441,-101.602524
D2i,D2,i,35.293488,35.293394,-101.602463,-101.602342,35.293441,-101.602403
E2a,E2,a,35.293676,35.293582,-101.602342,-101.602221,35.293629,-101.602281
E2b,E2,b,35.293676,35.293582,-101.602221,-101.602099,35.293629,-101.602160
E2c,E2,c,35.293676,35.293582,-101.602099,-101.601978,35.293629,-101.602039
E2d,E2,d,35.293582,35.293488,-101.602342,-101.602221,35.293535,-101.602281
E2e,E2,e,35.293582,35.293488,-101.602221,-101.602099,35.293535,-101.602160
E2f,E2,f,35.293582,35.293488,-101.602099,-101.601978,35.293535,-101.602039
E2g,E2,g,35.293488,35.293394,-101.602342,-101.602221,35.293441,-101.602281
E2h,E2,h,35.293488,35.293394,-101.602221,-101.602099,35.293441,-101.602160
E2i,E2,i,35.293488,35.293394,-101.602099,-101.601978,35.293441,-101.602039
F2a,F2,a,35.293676,35.293582,-101.601978,-101.601857,35.293629,-101.601917
F2b,F2,b,35.293676,35.293582,-101.601857,-101.601735,35.293629,-101.601796
F2c,F2,c,35.293676,35.293582,-101.601735,-101.601614,35.293629,-101.601675
F2d,F2,d,35.293582,35.293488,-101.601978,-101.601857,35.293535,-101.601917
F2e,F2,e,35.293582,35.293488,-101.601857,-101.601735,35.293535,-101.601796
F2f,F2,f,35.293582,35.293488,-101.601735,-101.601614,35.293535,-101.601675
F2g,F2,g,35.293488,35.293394,-101.601978,-101.601857,35.293441,-101.601917
F2h,F2,h,35.293488,35.293394,-101.601857,-101.601735,35.293441,-101.601796
F2i,F2,i,35.293488,35.293394,-101.601735,-101.601614,35.293441,-101.601675
G2a,G2,a,35.293676,35.293582,-101.601614,-101.601493,35.293629,-101.601553
G2b,G2,b,35.293676,35.293582,-101.601493,-101.601371,35.293629,-101.601432
G2c,G2,c,35.293676,35.293582,-101.601371,-101.601250,35.293629,-101.601311
G2d,G2,d,35.293582,35.293488,-101.601614,-101.601493,35.293535,-101.601553
G2e,G2,e,35.293582,35.293488,-101.601493,-101.601371,35.293535,-101.601432
G2f,G2,f,35.293582,35.293488,-101.601371,-101.601250,35.293535,-101.601311
G2g,G2,g,35.293488,35.293394,-101.601614,-101.601493,35.293441,-101.601553
G2h,G2,h,35.293488,35.293394,-101.601493,-101.601371,35.293441,-101.601432
G2i,G2,i,35.293488,35.293394,-101.601371,-101.601250,35.293441,-101.601311
A3a,A3,a,35.293394,35.293300,-101.603798,-101.603677,35.293347,-101.603737
A3b,A3,b,35.293394,35.293300,-101.603677,-101.603555,35.293347,-101.603616
A3c,A3,c,35.293394,35.293300,-101.603555,-101.603434,35.293347,-101.603495
A3d,A3,d,35.293300,35.293206,-101.603798,-101.603677,35.293253,-101.603737
A3e,A3,e,35.293300,35.293206,-101.603677,-101.603555,35.293253,-101.603616
A3f,A3,f,35.293300,35.293206,-101.603555,-101.603434,35.293253,-101.603495
A3g,A3,g,35.293206,35.293112,-101.603798,-101.603677,35.293159,-101.603737
A3h,A3,h,35.293206,35.293112,-101.603677,-101.603555,35.293159,-101.603616
A3i,A3,i,35.293206,35.293112,-101.603555,-101.603434,35.293159,-101.603495
B3a,B3,a,35.293394,35.293300,-101.603434,-101.603313,35.293347,-101.603373
B3b,B3,b,35.293394,35.293300,-101.603313,-101.603191,35.293347,-101.603252
B3c,B3,c,35.293394,35.293300,-101.603191,-101.603070,35.293347,-101.603131
B3d,B3,d,35.293300,35.293206,-101.603434,-101.603313,35.293253,-101.603373
B3e,B3,e,35.293300,35.293206,-101.603313,-101.603191,35.293253,-101.603252
B3f,B3,f,35.293300,35.293206,-101.603191,-101.603070,35.293253,-101.603131
B3g,B3,g,35.293206,35.293112,-101.603434,-101.603313,35.293159,-101.603373
B3h,B3,h,35.293206,35.293112,-101.603313,-101.603191,35.293159,-101.603252
B3i,B3,i,35.293206,35.293112,-101.603191,-101.603070,35.293159,-101.603131
C3a,C3,a,35.293394,35.293300,-101.603070,-101.602949,35.293347,-101.603009
C3b,C3,b,35.293394,35.293300,-101.602949,-101.602827,35.293347,-101.602888
C3c,C3,c,35.293394,35.293300,-101.602827,-101.602706,35.293347,-101.602767
C3d,C3,d,35.293300,35.293206,-101.603070,-101.602949,35.293253,-101.603009
C3e,C3,e,35.293300,35.293206,-101.602949,-101.602827,35.293253,-101.602888
C3f,C3,f,35.293300,35.293206,-101.602827,-101.602706,35.293253,-101.602767
C3g,C3,g,35.293206,35.293112,-101.603070,-101.602949,35.293159,-101.603009
C3h,C3,h,35.293206,35.293112,-101.602949,-101.602827,35.293159,-101.602888
C3i,C3,i,35.293206,35.293112,-101.602827,-101.602706,35.293159,-101.602767
D3a,D3,a,35.293394,35.293300,-101.602706,-101.602585,35.293347,-101.602645
D3b,D3,b,35.293394,35.293300,-101.602585,-101.602463,35.293347,-101.602524
D3c,D3,c,35.293394,35.293300,-101.602463,-101.602342,35.293347,-101.602403
D3d,D3,d,35.293300,35.293206,-101.602706,-101.602585,35.293253,-101.602645
D3e,D3,e,35.293300,35.293206,-101.602585,-101.602463,35.293253,-101.602524
D3f,D3,f,35.293300,35.293206,-101.602463,-101.602342,35.293253,-101.602403
D3g,D3,g,35.293206,35.293112,-101.602706,-101.602585,35.293159,-101.602645
D3h,D3,h,35.293206,35.293112,-101.602585,-101.602463,35.293159,-101.602524
D3i,D3,i,35.293206,35.293112,-101.602463,-101.602342,35.293159,-101.602403
E3a,E3,a,35.293394,35.293300,-101.602342,-101.602221,35.293347,-101.602281
E3b,E3,b,35.293394,35.293300,-101.602221,-101.602099,35.293347,-101.602160
E3c,E3,c,35.293394,35.293300,-101.602099,-101.601978,35.293347,-101.602039
E3d,E3,d,35.293300,35.293206,-101.602342,-101.602221,35.293253,-101.602281
E3e,E3,e,35.293300,35.293206,-101.602221,-101.602099,35.293253,-101.602160
E3f,E3,f,35.293300,35.293206,-101.602099,-101.601978,35.293253,-101.602039
E3g,E3,g,35.293206,35.293112,-101.602342,-101.602221,35.293159,-101.602281
E3h,E3,h,35.293206,35.293112,-101.602221,-101.602099,35.293159,-101.602160
E3i,E3,i,35.293206,35.293112,-101.602099,-101.601978,35.293159,-101.602039
F3a,F3,a,35.293394,35.293300,-101.601978,-101.601857,35.293347,-101.601917
F3b,F3,b,35.293394,35.293300,-101.601857,-101.601735,35.293347,-101.601796
F3c,F3,c,35.293394,35.293300,-101.601735,-101.601614,35.293347,-101.601675
F3d,F3,d,35.293300,35.293206,-101.601978,-101.601857,35.293253,-101.601917
F3e,F3,e,35.293300,35.293206,-101.601857,-101.601735,35.293253,-101.601796
F3f,F3,f,35.293300,35.293206,-101.601735,-101.601614,35.293253,-101.601675
F3g,F3,g,35.293206,35.293112,-101.601978,-101.601857,35.293159,-101.601917
F3h,F3,h,35.293206,35.293112,-101.601857,-101.601735,35.293159,-101.601796
F3i,F3,i,35.293206,35.293112,-101.601735,-101.601614,35.293159,-101.601675
G3a,G3,a,35.293394,35.293300,-101.601614,-101.601493,35.293347,-101.601553
G3b,G3,b,35.293394,35.293300,-101.601493,-101.601371,35.293347,-101.601432
G3c,G3,c,35.293394,35.293300,-101.601371,-101.601250,35.293347,-101.601311
G3d,G3,d,35.293300,35.293206,-101.601614,-101.601493,35.293253,-101.601553
G3e,G3,e,35.293300,35.293206,-101.601493,-101.601371,35.293253,-101.601432
G3f,G3,f,35.293300,35.293206,-101.601371,-101.601250,35.293253,-101.601311
G3g,G3,g,35.293206,35.293112,-101.601614,-101.601493,35.293159,-101.601553
G3h,G3,h,35.293206,35.293112,-101.601493,-101.601371,35.293159,-101.601432
G3i,G3,i,35.293206,35.293112,-101.601371,-101.601250,35.293159,-101.601311
D4a,D4,a,35.293112,35.293018,-101.602706,-101.602585,35.293065,-101.602645
D4b,D4,b,35.293112,35.293018,-101.602585,-101.602463,35.293065,-101.602524
D4c,D4,c,35.293112,35.293018,-101.602463,-101.602342,35.293065,-101.602403
D4d,D4,d,35.293018,35.292924,-101.602706,-101.602585,35.292971,-101.602645
D4e,D4,e,35.293018,35.292924,-101.602585,-101.602463,35.292971,-101.602524
D4f,D4,f,35.293018,35.292924,-101.602463,-101.602342,35.292971,-101.602403
D4g,D4,g,35.292924,35.292830,-101.602706,-101.602585,35.292877,-101.602645
D4h,D4,h,35.292924,35.292830,-101.602585,-101.602463,35.292877,-101.602524
D4i,D4,i,35.292924,35.292830,-101.602463,-101.602342,35.292877,-101.602403
